Model,Optimizer,Iteration,Best_Score_So_Far
AdaBoost,TPE,1,0.9129166666666666
AdaBoost,TPE,2,0.9129166666666666
AdaBoost,TPE,3,0.9129166666666666
AdaBoost,TPE,4,0.9129166666666666
AdaBoost,TPE,5,0.9129166666666666
AdaBoost,TPE,6,0.9129166666666666
AdaBoost,TPE,7,0.9129166666666666
AdaBoost,TPE,8,0.9129166666666666
AdaBoost,TPE,9,0.9495208333333334
AdaBoost,TPE,10,0.9495208333333334
AdaBoost,TPE,11,0.9495208333333334
AdaBoost,TPE,12,0.9495208333333334
AdaBoost,TPE,13,0.9499166666666669
AdaBoost,TPE,14,0.9499166666666669
AdaBoost,TPE,15,0.9499166666666669
AdaBoost,TPE,16,0.9499166666666669
AdaBoost,TPE,17,0.9499166666666669
AdaBoost,TPE,18,0.9499166666666669
AdaBoost,TPE,19,0.9499166666666669
AdaBoost,TPE,20,0.9499166666666669
AdaBoost,TPE,21,0.9499166666666669
AdaBoost,TPE,22,0.9499166666666669
AdaBoost,TPE,23,0.9499166666666669
AdaBoost,TPE,24,0.9499166666666669
AdaBoost,TPE,25,0.9499166666666669
AdaBoost,TPE,26,0.9499166666666669
AdaBoost,TPE,27,0.9499166666666669
AdaBoost,TPE,28,0.9499166666666669
AdaBoost,TPE,29,0.9499166666666669
AdaBoost,TPE,30,0.9499166666666669
AdaBoost,TPE,31,0.9499166666666669
AdaBoost,TPE,32,0.9499166666666669
AdaBoost,TPE,33,0.9499166666666669
AdaBoost,TPE,34,0.9499166666666669
AdaBoost,TPE,35,0.9499166666666669
AdaBoost,TPE,36,0.9499166666666669
AdaBoost,TPE,37,0.9499166666666669
AdaBoost,TPE,38,0.9499166666666669
AdaBoost,TPE,39,0.9499166666666669
AdaBoost,TPE,40,0.9499166666666669
AdaBoost,TPE,41,0.9499166666666669
AdaBoost,TPE,42,0.950125
AdaBoost,TPE,43,0.950125
AdaBoost,TPE,44,0.950125
AdaBoost,TPE,45,0.950125
AdaBoost,TPE,46,0.9502916666666664
AdaBoost,TPE,47,0.9502916666666664
AdaBoost,TPE,48,0.9502916666666664
AdaBoost,TPE,49,0.9502916666666664
AdaBoost,TPE,50,0.9502916666666664
AdaBoost,GWO,1,0.8785208333333333
AdaBoost,GWO,2,0.8785208333333333
AdaBoost,GWO,3,0.8948541666666667
AdaBoost,GWO,4,0.8948541666666667
AdaBoost,GWO,5,0.9184583333333332
AdaBoost,GWO,6,0.9184583333333332
AdaBoost,GWO,7,0.9184583333333332
AdaBoost,GWO,8,0.952
AdaBoost,GWO,9,0.952
AdaBoost,GWO,10,0.952
AdaBoost,GWO,11,0.952
AdaBoost,GWO,12,0.952
AdaBoost,GWO,13,0.952
AdaBoost,GWO,14,0.952
AdaBoost,GWO,15,0.952
AdaBoost,GWO,16,0.952
AdaBoost,GWO,17,0.952
AdaBoost,GWO,18,0.952
AdaBoost,GWO,19,0.952
AdaBoost,GWO,20,0.952
AdaBoost,GWO,21,0.952
AdaBoost,GWO,22,0.952
AdaBoost,GWO,23,0.952
AdaBoost,GWO,24,0.952
AdaBoost,GWO,25,0.952
AdaBoost,GWO,26,0.952
AdaBoost,GWO,27,0.952
AdaBoost,GWO,28,0.952
AdaBoost,GWO,29,0.952
AdaBoost,GWO,30,0.952
AdaBoost,GWO,31,0.952
AdaBoost,GWO,32,0.952
AdaBoost,GWO,33,0.952
AdaBoost,GWO,34,0.952
AdaBoost,GWO,35,0.952
AdaBoost,GWO,36,0.952
AdaBoost,GWO,37,0.952
AdaBoost,GWO,38,0.952
AdaBoost,GWO,39,0.952
AdaBoost,GWO,40,0.952
AdaBoost,GWO,41,0.952
AdaBoost,GWO,42,0.952
AdaBoost,GWO,43,0.952
AdaBoost,GWO,44,0.952
AdaBoost,GWO,45,0.952
AdaBoost,GWO,46,0.952
AdaBoost,GWO,47,0.952
AdaBoost,GWO,48,0.952
AdaBoost,GWO,49,0.952
AdaBoost,GWO,50,0.952
CB,TPE,1,0.9837291666666664
CB,TPE,2,0.9879583333333332
CB,TPE,3,0.9879583333333332
CB,TPE,4,0.9879583333333332
CB,TPE,5,0.9879583333333332
CB,TPE,6,0.9879583333333332
CB,TPE,7,0.9879583333333332
CB,TPE,8,0.9883541666666668
CB,TPE,9,0.9883541666666668
CB,TPE,10,0.9883541666666668
CB,TPE,11,0.9883541666666668
CB,TPE,12,0.9896458333333332
CB,TPE,13,0.9896458333333332
CB,TPE,14,0.9902708333333332
CB,TPE,15,0.9902708333333332
CB,TPE,16,0.9927708333333334
CB,TPE,17,0.9936875
CB,TPE,18,0.9936875
CB,TPE,19,0.9936875
CB,TPE,20,0.9936875
CB,TPE,21,0.9936875
CB,TPE,22,0.9936875
CB,TPE,23,0.9936875
CB,TPE,24,0.9937291666666668
CB,TPE,25,0.9937291666666668
CB,TPE,26,0.9937291666666668
CB,TPE,27,0.9937291666666668
CB,TPE,28,0.9937291666666668
CB,TPE,29,0.9937291666666668
CB,TPE,30,0.9937291666666668
CB,TPE,31,0.9937291666666668
CB,TPE,32,0.9940416666666668
CB,TPE,33,0.9940416666666668
CB,TPE,34,0.9940416666666668
CB,TPE,35,0.9940416666666668
CB,TPE,36,0.9940416666666668
CB,TPE,37,0.9940416666666668
CB,TPE,38,0.9940416666666668
CB,TPE,39,0.9942083333333332
CB,TPE,40,0.9942083333333332
CB,TPE,41,0.9942083333333332
CB,TPE,42,0.9942083333333332
CB,TPE,43,0.995125
CB,TPE,44,0.995125
CB,TPE,45,0.995125
CB,TPE,46,0.995125
CB,TPE,47,0.995125
CB,TPE,48,0.995125
CB,TPE,49,0.995125
CB,TPE,50,0.995125
CB,GWO,1,0.9789583333333332
CB,GWO,2,0.9851041666666668
CB,GWO,3,0.9851041666666668
CB,GWO,4,0.9921875
CB,GWO,5,0.9921875
CB,GWO,6,0.9921875
CB,GWO,7,0.9921875
CB,GWO,8,0.9921875
CB,GWO,9,0.9921875
CB,GWO,10,0.9921875
CB,GWO,11,0.9921875
CB,GWO,12,0.9921875
CB,GWO,13,0.9921875
CB,GWO,14,0.9921875
CB,GWO,15,0.994875
CB,GWO,16,0.994875
CB,GWO,17,0.994875
CB,GWO,18,0.994875
CB,GWO,19,0.994875
CB,GWO,20,0.994875
CB,GWO,21,0.994875
CB,GWO,22,0.994875
CB,GWO,23,0.994875
CB,GWO,24,0.994875
CB,GWO,25,0.994875
CB,GWO,26,0.994875
CB,GWO,27,0.994875
CB,GWO,28,0.994875
CB,GWO,29,0.994875
CB,GWO,30,0.9954791666666668
CB,GWO,31,0.9954791666666668
CB,GWO,32,0.9954791666666668
CB,GWO,33,0.9954791666666668
CB,GWO,34,0.9954791666666668
CB,GWO,35,0.9954791666666668
CB,GWO,36,0.9954791666666668
CB,GWO,37,0.9954791666666668
CB,GWO,38,0.9954791666666668
CB,GWO,39,0.9954791666666668
CB,GWO,40,0.9954791666666668
CB,GWO,41,0.9954791666666668
CB,GWO,42,0.9954791666666668
CB,GWO,43,0.9954791666666668
CB,GWO,44,0.9954791666666668
CB,GWO,45,0.9954791666666668
CB,GWO,46,0.9954791666666668
CB,GWO,47,0.9954791666666668
CB,GWO,48,0.9954791666666668
CB,GWO,49,0.9954791666666668
CB,GWO,50,0.9954791666666668
GB,TPE,1,0.9869791666666669
GB,TPE,2,0.9869791666666669
GB,TPE,3,0.9906875
GB,TPE,4,0.9906875
GB,TPE,5,0.9906875
GB,TPE,6,0.9949583333333332
GB,TPE,7,0.9949583333333332
GB,TPE,8,0.9949583333333332
GB,TPE,9,0.9951875
GB,TPE,10,0.9951875
GB,TPE,11,0.9951875
GB,TPE,12,0.9951875
GB,TPE,13,0.9951875
GB,TPE,14,0.9951875
GB,TPE,15,0.9951875
GB,TPE,16,0.9951875
GB,TPE,17,0.9951875
GB,TPE,18,0.9951875
GB,TPE,19,0.9951875
GB,TPE,20,0.9951875
GB,TPE,21,0.9951875
GB,TPE,22,0.9951875
GB,TPE,23,0.9951875
GB,TPE,24,0.9951875
GB,TPE,25,0.9951875
GB,TPE,26,0.9951875
GB,TPE,27,0.9951875
GB,TPE,28,0.9951875
GB,TPE,29,0.9951875
GB,TPE,30,0.9951875
GB,TPE,31,0.9951875
GB,TPE,32,0.9951875
GB,TPE,33,0.9957708333333332
GB,TPE,34,0.9957708333333332
GB,TPE,35,0.9957708333333332
GB,TPE,36,0.9957708333333332
GB,TPE,37,0.9957708333333332
GB,TPE,38,0.9957708333333332
GB,TPE,39,0.9957708333333332
GB,TPE,40,0.9957708333333332
GB,TPE,41,0.9957708333333332
GB,TPE,42,0.9957708333333332
GB,TPE,43,0.9957708333333332
GB,TPE,44,0.9957708333333332
GB,TPE,45,0.9957708333333332
GB,TPE,46,0.9957708333333332
GB,TPE,47,0.9957708333333332
GB,TPE,48,0.9961875
GB,TPE,49,0.9961875
GB,TPE,50,0.9961875
GB,GWO,1,0.987875
GB,GWO,2,0.987875
GB,GWO,3,0.9893958333333334
GB,GWO,4,0.9893958333333334
GB,GWO,5,0.9893958333333334
GB,GWO,6,0.9893958333333334
GB,GWO,7,0.9893958333333334
GB,GWO,8,0.9925416666666668
GB,GWO,9,0.9950624999999998
GB,GWO,10,0.9950624999999998
GB,GWO,11,0.9950624999999998
GB,GWO,12,0.9950624999999998
GB,GWO,13,0.9950624999999998
GB,GWO,14,0.9950624999999998
GB,GWO,15,0.9950624999999998
GB,GWO,16,0.9950624999999998
GB,GWO,17,0.9950624999999998
GB,GWO,18,0.9950624999999998
GB,GWO,19,0.9950624999999998
GB,GWO,20,0.9950624999999998
GB,GWO,21,0.9950624999999998
GB,GWO,22,0.9950624999999998
GB,GWO,23,0.9950624999999998
GB,GWO,24,0.9953958333333331
GB,GWO,25,0.9953958333333331
GB,GWO,26,0.9953958333333331
GB,GWO,27,0.9953958333333331
GB,GWO,28,0.9953958333333331
GB,GWO,29,0.9953958333333331
GB,GWO,30,0.9953958333333331
GB,GWO,31,0.9953958333333331
GB,GWO,32,0.9962708333333332
GB,GWO,33,0.9962708333333332
GB,GWO,34,0.9962708333333332
GB,GWO,35,0.9962708333333332
GB,GWO,36,0.9962708333333332
GB,GWO,37,0.9962708333333332
GB,GWO,38,0.9962708333333332
GB,GWO,39,0.9962708333333332
GB,GWO,40,0.9962708333333332
GB,GWO,41,0.9962708333333332
GB,GWO,42,0.9965416666666668
GB,GWO,43,0.9965416666666668
GB,GWO,44,0.9965416666666668
GB,GWO,45,0.9965416666666668
GB,GWO,46,0.9965416666666668
GB,GWO,47,0.9965416666666668
GB,GWO,48,0.9965416666666668
GB,GWO,49,0.9965416666666668
GB,GWO,50,0.9965416666666668
KNN,TPE,1,0.9407291666666666
KNN,TPE,2,0.9407291666666666
KNN,TPE,3,0.9407291666666666
KNN,TPE,4,0.9407291666666666
KNN,TPE,5,0.945875
KNN,TPE,6,0.945875
KNN,TPE,7,0.945875
KNN,TPE,8,0.945875
KNN,TPE,9,0.9481041666666666
KNN,TPE,10,0.9481041666666666
KNN,TPE,11,0.9481041666666666
KNN,TPE,12,0.9481041666666666
KNN,TPE,13,0.9481041666666666
KNN,TPE,14,0.9481041666666666
KNN,TPE,15,0.9481041666666666
KNN,TPE,16,0.9481041666666666
KNN,TPE,17,0.9481041666666666
KNN,TPE,18,0.9481041666666666
KNN,TPE,19,0.9481041666666666
KNN,TPE,20,0.9481041666666666
KNN,TPE,21,0.9481041666666666
KNN,TPE,22,0.9481041666666666
KNN,TPE,23,0.9481041666666666
KNN,TPE,24,0.9481041666666666
KNN,TPE,25,0.9481041666666666
KNN,TPE,26,0.9481041666666666
KNN,TPE,27,0.9481041666666666
KNN,TPE,28,0.9481041666666666
KNN,TPE,29,0.9481041666666666
KNN,TPE,30,0.9481041666666666
KNN,TPE,31,0.9481041666666666
KNN,TPE,32,0.9481041666666666
KNN,TPE,33,0.9481041666666666
KNN,TPE,34,0.9481041666666666
KNN,TPE,35,0.9481041666666666
KNN,TPE,36,0.9481041666666666
KNN,TPE,37,0.9481041666666666
KNN,TPE,38,0.9481041666666666
KNN,TPE,39,0.9481041666666666
KNN,TPE,40,0.9481041666666666
KNN,TPE,41,0.9482083333333332
KNN,TPE,42,0.9482083333333332
KNN,TPE,43,0.9482083333333332
KNN,TPE,44,0.9482083333333332
KNN,TPE,45,0.9482083333333332
KNN,TPE,46,0.9482083333333332
KNN,TPE,47,0.9482083333333332
KNN,TPE,48,0.9482083333333332
KNN,TPE,49,0.9482083333333332
KNN,TPE,50,0.9482083333333332
KNN,GWO,1,0.9377083333333334
KNN,GWO,2,0.9409791666666668
KNN,GWO,3,0.9410416666666668
KNN,GWO,4,0.9410416666666668
KNN,GWO,5,0.9410416666666668
KNN,GWO,6,0.9410416666666668
KNN,GWO,7,0.9410416666666668
KNN,GWO,8,0.941875
KNN,GWO,9,0.9435833333333332
KNN,GWO,10,0.9435833333333332
KNN,GWO,11,0.9435833333333332
KNN,GWO,12,0.945875
KNN,GWO,13,0.945875
KNN,GWO,14,0.945875
KNN,GWO,15,0.945875
KNN,GWO,16,0.945875
KNN,GWO,17,0.945875
KNN,GWO,18,0.945875
KNN,GWO,19,0.945875
KNN,GWO,20,0.945875
KNN,GWO,21,0.945875
KNN,GWO,22,0.9479583333333332
KNN,GWO,23,0.9479583333333332
KNN,GWO,24,0.9479583333333332
KNN,GWO,25,0.9479583333333332
KNN,GWO,26,0.9479583333333332
KNN,GWO,27,0.9479583333333332
KNN,GWO,28,0.9487916666666664
KNN,GWO,29,0.9487916666666664
KNN,GWO,30,0.9487916666666664
KNN,GWO,31,0.9487916666666664
KNN,GWO,32,0.9487916666666664
KNN,GWO,33,0.9487916666666664
KNN,GWO,34,0.9487916666666664
KNN,GWO,35,0.9487916666666664
KNN,GWO,36,0.9487916666666664
KNN,GWO,37,0.9487916666666664
KNN,GWO,38,0.9487916666666664
KNN,GWO,39,0.9487916666666664
KNN,GWO,40,0.9487916666666664
KNN,GWO,41,0.9487916666666664
KNN,GWO,42,0.9487916666666664
KNN,GWO,43,0.9487916666666664
KNN,GWO,44,0.9487916666666664
KNN,GWO,45,0.9487916666666664
KNN,GWO,46,0.9487916666666664
KNN,GWO,47,0.9487916666666664
KNN,GWO,48,0.9487916666666664
KNN,GWO,49,0.9487916666666664
KNN,GWO,50,0.9487916666666664
LDA,TPE,1,0.8953125
LDA,TPE,2,0.8953125
LDA,TPE,3,0.8953125
LDA,TPE,4,0.8953125
LDA,TPE,5,0.8953125
LDA,TPE,6,0.8953125
LDA,TPE,7,0.8953125
LDA,TPE,8,0.8953125
LDA,TPE,9,0.8953125
LDA,TPE,10,0.8953125
LDA,TPE,11,0.8953125
LDA,TPE,12,0.8953125
LDA,TPE,13,0.8953125
LDA,TPE,14,0.8953125
LDA,TPE,15,0.8953125
LDA,TPE,16,0.8953125
LDA,TPE,17,0.8953125
LDA,TPE,18,0.8953125
LDA,TPE,19,0.8953125
LDA,TPE,20,0.8953125
LDA,TPE,21,0.8953125
LDA,TPE,22,0.8953125
LDA,TPE,23,0.8953125
LDA,TPE,24,0.8953125
LDA,TPE,25,0.8953125
LDA,TPE,26,0.8953125
LDA,TPE,27,0.8953125
LDA,TPE,28,0.8953125
LDA,TPE,29,0.8953125
LDA,TPE,30,0.8953125
LDA,TPE,31,0.8953125
LDA,TPE,32,0.8953125
LDA,TPE,33,0.8953125
LDA,TPE,34,0.8953125
LDA,TPE,35,0.8953125
LDA,TPE,36,0.8953125
LDA,TPE,37,0.8953125
LDA,TPE,38,0.8953125
LDA,TPE,39,0.8953125
LDA,TPE,40,0.8953125
LDA,TPE,41,0.8953125
LDA,TPE,42,0.8953125
LDA,TPE,43,0.8953125
LDA,TPE,44,0.8953125
LDA,TPE,45,0.8953125
LDA,TPE,46,0.8953125
LDA,TPE,47,0.8953125
LDA,TPE,48,0.8953125
LDA,TPE,49,0.8953125
LDA,TPE,50,0.8953125
LDA,GWO,1,0.8953125
LDA,GWO,2,0.8953125
LDA,GWO,3,0.8953125
LDA,GWO,4,0.8953125
LDA,GWO,5,0.8953125
LDA,GWO,6,0.8953125
LDA,GWO,7,0.8953125
LDA,GWO,8,0.8953125
LDA,GWO,9,0.8953125
LDA,GWO,10,0.8953125
LDA,GWO,11,0.8953125
LDA,GWO,12,0.8953125
LDA,GWO,13,0.8953125
LDA,GWO,14,0.8953125
LDA,GWO,15,0.8953125
LDA,GWO,16,0.8953125
LDA,GWO,17,0.8953125
LDA,GWO,18,0.8953125
LDA,GWO,19,0.8953125
LDA,GWO,20,0.8953125
LDA,GWO,21,0.8953125
LDA,GWO,22,0.8953125
LDA,GWO,23,0.8953125
LDA,GWO,24,0.8953125
LDA,GWO,25,0.8953125
LDA,GWO,26,0.8953125
LDA,GWO,27,0.8953125
LDA,GWO,28,0.8953125
LDA,GWO,29,0.8953125
LDA,GWO,30,0.8953125
LDA,GWO,31,0.8953125
LDA,GWO,32,0.8953125
LDA,GWO,33,0.8953125
LDA,GWO,34,0.8953125
LDA,GWO,35,0.8953125
LDA,GWO,36,0.8953125
LDA,GWO,37,0.8953125
LDA,GWO,38,0.8953125
LDA,GWO,39,0.8953125
LDA,GWO,40,0.8953125
LDA,GWO,41,0.8953125
LDA,GWO,42,0.8953125
LDA,GWO,43,0.8953125
LDA,GWO,44,0.8953125
LDA,GWO,45,0.8953125
LDA,GWO,46,0.8953125
LDA,GWO,47,0.8953125
LDA,GWO,48,0.8953125
LDA,GWO,49,0.8953125
LDA,GWO,50,0.8953125
LGBM,TPE,1,0.9909791666666669
LGBM,TPE,2,0.9909791666666669
LGBM,TPE,3,0.9909791666666669
LGBM,TPE,4,0.9909791666666669
LGBM,TPE,5,0.9909791666666669
LGBM,TPE,6,0.9909791666666669
LGBM,TPE,7,0.9909791666666669
LGBM,TPE,8,0.9909791666666669
LGBM,TPE,9,0.9970833333333332
LGBM,TPE,10,0.9970833333333332
LGBM,TPE,11,0.9970833333333332
LGBM,TPE,12,0.9970833333333332
LGBM,TPE,13,0.9970833333333332
LGBM,TPE,14,0.9970833333333332
LGBM,TPE,15,0.9970833333333332
LGBM,TPE,16,0.9970833333333332
LGBM,TPE,17,0.9970833333333332
LGBM,TPE,18,0.9970833333333332
LGBM,TPE,19,0.9970833333333332
LGBM,TPE,20,0.9970833333333332
LGBM,TPE,21,0.9970833333333332
LGBM,TPE,22,0.9970833333333332
LGBM,TPE,23,0.9970833333333332
LGBM,TPE,24,0.9970833333333332
LGBM,TPE,25,0.9970833333333332
LGBM,TPE,26,0.9970833333333332
LGBM,TPE,27,0.9970833333333332
LGBM,TPE,28,0.9970833333333332
LGBM,TPE,29,0.9970833333333332
LGBM,TPE,30,0.9970833333333332
LGBM,TPE,31,0.9970833333333332
LGBM,TPE,32,0.9970833333333332
LGBM,TPE,33,0.9970833333333332
LGBM,TPE,34,0.9970833333333332
LGBM,TPE,35,0.9970833333333332
LGBM,TPE,36,0.9970833333333332
LGBM,TPE,37,0.9970833333333332
LGBM,TPE,38,0.9970833333333332
LGBM,TPE,39,0.9970833333333332
LGBM,TPE,40,0.9970833333333332
LGBM,TPE,41,0.9970833333333332
LGBM,TPE,42,0.9971458333333334
LGBM,TPE,43,0.9971458333333334
LGBM,TPE,44,0.9971458333333334
LGBM,TPE,45,0.9971458333333334
LGBM,TPE,46,0.9975833333333334
LGBM,TPE,47,0.9979166666666668
LGBM,TPE,48,0.9979166666666668
LGBM,TPE,49,0.9979166666666668
LGBM,TPE,50,0.9979166666666668
LGBM,GWO,1,0.9872499999999998
LGBM,GWO,2,0.9953333333333332
LGBM,GWO,3,0.9953333333333332
LGBM,GWO,4,0.9953333333333332
LGBM,GWO,5,0.9953333333333332
LGBM,GWO,6,0.9953333333333332
LGBM,GWO,7,0.9953333333333332
LGBM,GWO,8,0.9953333333333332
LGBM,GWO,9,0.9953333333333332
LGBM,GWO,10,0.9953333333333332
LGBM,GWO,11,0.9953333333333332
LGBM,GWO,12,0.9953333333333332
LGBM,GWO,13,0.9953333333333332
LGBM,GWO,14,0.9953333333333332
LGBM,GWO,15,0.9953333333333332
LGBM,GWO,16,0.9953333333333332
LGBM,GWO,17,0.9958958333333332
LGBM,GWO,18,0.9961666666666666
LGBM,GWO,19,0.9964583333333332
LGBM,GWO,20,0.9964583333333332
LGBM,GWO,21,0.9964583333333332
LGBM,GWO,22,0.9964583333333332
LGBM,GWO,23,0.997
LGBM,GWO,24,0.997
LGBM,GWO,25,0.997
LGBM,GWO,26,0.997
LGBM,GWO,27,0.997
LGBM,GWO,28,0.997
LGBM,GWO,29,0.997
LGBM,GWO,30,0.997
LGBM,GWO,31,0.9974166666666668
LGBM,GWO,32,0.9974166666666668
LGBM,GWO,33,0.9974166666666668
LGBM,GWO,34,0.9974166666666668
LGBM,GWO,35,0.9974166666666668
LGBM,GWO,36,0.9974166666666668
LGBM,GWO,37,0.9974166666666668
LGBM,GWO,38,0.9974166666666668
LGBM,GWO,39,0.9974166666666668
LGBM,GWO,40,0.9974166666666668
LGBM,GWO,41,0.9974166666666668
LGBM,GWO,42,0.9974166666666668
LGBM,GWO,43,0.9975000000000002
LGBM,GWO,44,0.9975000000000002
LGBM,GWO,45,0.9975208333333332
LGBM,GWO,46,0.9975208333333332
LGBM,GWO,47,0.9975208333333332
LGBM,GWO,48,0.9975208333333332
LGBM,GWO,49,0.9975208333333332
LGBM,GWO,50,0.9975208333333332
LR,TPE,1,0.8769583333333333
LR,TPE,2,0.8964583333333334
LR,TPE,3,0.8964583333333334
LR,TPE,4,0.8964583333333334
LR,TPE,5,0.89725
LR,TPE,6,0.89725
LR,TPE,7,0.89725
LR,TPE,8,0.89725
LR,TPE,9,0.89725
LR,TPE,10,0.89725
LR,TPE,11,0.89725
LR,TPE,12,0.89725
LR,TPE,13,0.89725
LR,TPE,14,0.8972916666666666
LR,TPE,15,0.8972916666666666
LR,TPE,16,0.8972916666666666
LR,TPE,17,0.8972916666666666
LR,TPE,18,0.8972916666666666
LR,TPE,19,0.8972916666666666
LR,TPE,20,0.8972916666666666
LR,TPE,21,0.8972916666666666
LR,TPE,22,0.8972916666666666
LR,TPE,23,0.8972916666666666
LR,TPE,24,0.8972916666666666
LR,TPE,25,0.8972916666666666
LR,TPE,26,0.8972916666666666
LR,TPE,27,0.8972916666666666
LR,TPE,28,0.8972916666666666
LR,TPE,29,0.8972916666666666
LR,TPE,30,0.8972916666666666
LR,TPE,31,0.8972916666666666
LR,TPE,32,0.8972916666666666
LR,TPE,33,0.8972916666666666
LR,TPE,34,0.8972916666666666
LR,TPE,35,0.8972916666666666
LR,TPE,36,0.8972916666666666
LR,TPE,37,0.8972916666666666
LR,TPE,38,0.8972916666666666
LR,TPE,39,0.8972916666666666
LR,TPE,40,0.8972916666666666
LR,TPE,41,0.8972916666666666
LR,TPE,42,0.8972916666666666
LR,TPE,43,0.8972916666666666
LR,TPE,44,0.8972916666666666
LR,TPE,45,0.8972916666666666
LR,TPE,46,0.8972916666666666
LR,TPE,47,0.8972916666666666
LR,TPE,48,0.8972916666666666
LR,TPE,49,0.8972916666666666
LR,TPE,50,0.8972916666666666
LR,GWO,1,0.8972916666666666
LR,GWO,2,0.8972916666666666
LR,GWO,3,0.8972916666666666
LR,GWO,4,0.8972916666666666
LR,GWO,5,0.8972916666666666
LR,GWO,6,0.8972916666666666
LR,GWO,7,0.8972916666666666
LR,GWO,8,0.8972916666666666
LR,GWO,9,0.8972916666666666
LR,GWO,10,0.8972916666666666
LR,GWO,11,0.8972916666666666
LR,GWO,12,0.8972916666666666
LR,GWO,13,0.8972916666666666
LR,GWO,14,0.8972916666666666
LR,GWO,15,0.8972916666666666
LR,GWO,16,0.8972916666666666
LR,GWO,17,0.8972916666666666
LR,GWO,18,0.8972916666666666
LR,GWO,19,0.8972916666666666
LR,GWO,20,0.897375
LR,GWO,21,0.897375
LR,GWO,22,0.897375
LR,GWO,23,0.897375
LR,GWO,24,0.897375
LR,GWO,25,0.897375
LR,GWO,26,0.897375
LR,GWO,27,0.897375
LR,GWO,28,0.897375
LR,GWO,29,0.897375
LR,GWO,30,0.897375
LR,GWO,31,0.897375
LR,GWO,32,0.897375
LR,GWO,33,0.897375
LR,GWO,34,0.897375
LR,GWO,35,0.897375
LR,GWO,36,0.897375
LR,GWO,37,0.897375
LR,GWO,38,0.897375
LR,GWO,39,0.897375
LR,GWO,40,0.897375
LR,GWO,41,0.897375
LR,GWO,42,0.897375
LR,GWO,43,0.897375
LR,GWO,44,0.897375
LR,GWO,45,0.897375
LR,GWO,46,0.897375
LR,GWO,47,0.897375
LR,GWO,48,0.897375
LR,GWO,49,0.897375
LR,GWO,50,0.897375
LinearSVC,TPE,1,0.8826041666666666
LinearSVC,TPE,2,0.8946458333333334
LinearSVC,TPE,3,0.8946458333333334
LinearSVC,TPE,4,0.8970416666666665
LinearSVC,TPE,5,0.8970416666666665
LinearSVC,TPE,6,0.8970416666666665
LinearSVC,TPE,7,0.8970416666666665
LinearSVC,TPE,8,0.8970416666666665
LinearSVC,TPE,9,0.8970416666666665
LinearSVC,TPE,10,0.8970416666666665
LinearSVC,TPE,11,0.8970416666666665
LinearSVC,TPE,12,0.8970416666666665
LinearSVC,TPE,13,0.8970416666666665
LinearSVC,TPE,14,0.8970416666666665
LinearSVC,TPE,15,0.8970416666666665
LinearSVC,TPE,16,0.8970416666666665
LinearSVC,TPE,17,0.8970416666666665
LinearSVC,TPE,18,0.8970625
LinearSVC,TPE,19,0.8970625
