Model,Scaler,Fold,Accuracy
LR,Raw,1,0.8575
LR,Raw,2,0.8595833333333334
LR,Raw,3,0.8566666666666667
LR,Raw,4,0.858125
LR,Raw,5,0.8516666666666667
LDA,Raw,1,0.8554166666666667
LDA,Raw,2,0.8592708333333333
LDA,Raw,3,0.8561458333333334
LDA,Raw,4,0.853125
LDA,Raw,5,0.8535416666666666
QDA,Raw,1,0.8163541666666667
QDA,Raw,2,0.7744791666666667
QDA,Raw,3,0.8204166666666667
QDA,Raw,4,0.7486458333333333
QDA,Raw,5,0.8113541666666667
NB,Raw,1,0.8325
NB,Raw,2,0.8341666666666666
NB,Raw,3,0.8321875
NB,Raw,4,0.8290625
NB,Raw,5,0.8265625
KNN,Raw,1,0.93125
KNN,Raw,2,0.9294791666666666
KNN,Raw,3,0.9372916666666666
KNN,Raw,4,0.9333333333333333
KNN,Raw,5,0.9319791666666667
LinearSVC,Raw,1,0.856875
LinearSVC,Raw,2,0.8594791666666667
LinearSVC,Raw,3,0.8565625
LinearSVC,Raw,4,0.8578125
LinearSVC,Raw,5,0.8514583333333333
SVM,Raw,1,0.97375
SVM,Raw,2,0.9709375
SVM,Raw,3,0.9711458333333334
SVM,Raw,4,0.9751041666666667
SVM,Raw,5,0.9726041666666667
AdaBoost,Raw,1,0.8903125
AdaBoost,Raw,2,0.8960416666666666
AdaBoost,Raw,3,0.8746875
AdaBoost,Raw,4,0.8891666666666667
AdaBoost,Raw,5,0.8876041666666666
RF,Raw,1,0.9578125
RF,Raw,2,0.9629166666666666
RF,Raw,3,0.9617708333333334
RF,Raw,4,0.9580208333333333
RF,Raw,5,0.9592708333333333
GB,Raw,1,0.918125
GB,Raw,2,0.9266666666666666
GB,Raw,3,0.9251041666666666
GB,Raw,4,0.9255208333333333
GB,Raw,5,0.9175
XGB,Raw,1,0.9845833333333334
XGB,Raw,2,0.9876041666666666
XGB,Raw,3,0.9854166666666667
XGB,Raw,4,0.986875
XGB,Raw,5,0.9851041666666667
LGBM,Raw,1,0.9645833333333333
LGBM,Raw,2,0.966875
LGBM,Raw,3,0.9696875
LGBM,Raw,4,0.9696875
LGBM,Raw,5,0.9679166666666666
CB,Raw,1,0.9885416666666667
CB,Raw,2,0.986875
CB,Raw,3,0.9876041666666666
CB,Raw,4,0.9897916666666666
CB,Raw,5,0.9895833333333334
SGD,Raw,1,0.8530208333333333
SGD,Raw,2,0.8585416666666666
SGD,Raw,3,0.8308333333333333
SGD,Raw,4,0.8521875
SGD,Raw,5,0.8503125
LR,Standard,1,0.8570833333333333
LR,Standard,2,0.8592708333333333
LR,Standard,3,0.8572916666666667
LR,Standard,4,0.8578125
LR,Standard,5,0.8513541666666666
LDA,Standard,1,0.8554166666666667
LDA,Standard,2,0.8592708333333333
LDA,Standard,3,0.8561458333333334
LDA,Standard,4,0.853125
LDA,Standard,5,0.8535416666666666
QDA,Standard,1,0.859375
QDA,Standard,2,0.855
QDA,Standard,3,0.8373958333333333
QDA,Standard,4,0.8578125
QDA,Standard,5,0.8238541666666667
NB,Standard,1,0.8325
NB,Standard,2,0.8341666666666666
NB,Standard,3,0.8321875
NB,Standard,4,0.8290625
NB,Standard,5,0.8265625
KNN,Standard,1,0.920625
KNN,Standard,2,0.92375
KNN,Standard,3,0.924375
KNN,Standard,4,0.9217708333333333
KNN,Standard,5,0.9241666666666667
LinearSVC,Standard,1,0.8569791666666666
LinearSVC,Standard,2,0.8590625
LinearSVC,Standard,3,0.8566666666666667
LinearSVC,Standard,4,0.8578125
LinearSVC,Standard,5,0.85125
SVM,Standard,1,0.9784375
SVM,Standard,2,0.9772916666666667
SVM,Standard,3,0.9789583333333334
SVM,Standard,4,0.9815625
SVM,Standard,5,0.9788541666666667
AdaBoost,Standard,1,0.8903125
AdaBoost,Standard,2,0.8960416666666666
AdaBoost,Standard,3,0.8746875
AdaBoost,Standard,4,0.8891666666666667
AdaBoost,Standard,5,0.8876041666666666
RF,Standard,1,0.9578125
RF,Standard,2,0.9629166666666666
RF,Standard,3,0.9617708333333334
RF,Standard,4,0.9580208333333333
RF,Standard,5,0.9592708333333333
GB,Standard,1,0.918125
GB,Standard,2,0.9266666666666666
GB,Standard,3,0.9251041666666666
GB,Standard,4,0.9255208333333333
GB,Standard,5,0.9175
XGB,Standard,1,0.98375
XGB,Standard,2,0.9876041666666666
XGB,Standard,3,0.9871875
XGB,Standard,4,0.986875
XGB,Standard,5,0.9851041666666667
LGBM,Standard,1,0.965
LGBM,Standard,2,0.9670833333333333
LGBM,Standard,3,0.9695833333333334
LGBM,Standard,4,0.9682291666666667
LGBM,Standard,5,0.9672916666666667
CB,Standard,1,0.9885416666666667
CB,Standard,2,0.9875
CB,Standard,3,0.9876041666666666
CB,Standard,4,0.9886458333333333
CB,Standard,5,0.9895833333333334
SGD,Standard,1,0.8569791666666666
SGD,Standard,2,0.8559375
SGD,Standard,3,0.8536458333333333
SGD,Standard,4,0.8494791666666667
SGD,Standard,5,0.8502083333333333
LR,MinMax,1,0.8575
LR,MinMax,2,0.8605208333333333
LR,MinMax,3,0.8573958333333334
LR,MinMax,4,0.8579166666666667
LR,MinMax,5,0.8534375
LDA,MinMax,1,0.8554166666666667
LDA,MinMax,2,0.8592708333333333
LDA,MinMax,3,0.8561458333333334
LDA,MinMax,4,0.853125
LDA,MinMax,5,0.8535416666666666
QDA,MinMax,1,0.8327083333333334
QDA,MinMax,2,0.845625
QDA,MinMax,3,0.8254166666666667
QDA,MinMax,4,0.8435416666666666
QDA,MinMax,5,0.845625
NB,MinMax,1,0.8325
NB,MinMax,2,0.8341666666666666
NB,MinMax,3,0.8321875
NB,MinMax,4,0.8290625
NB,MinMax,5,0.8265625
KNN,MinMax,1,0.9245833333333333
KNN,MinMax,2,0.9292708333333334
KNN,MinMax,3,0.9286458333333333
KNN,MinMax,4,0.9282291666666667
KNN,MinMax,5,0.9247916666666667
LinearSVC,MinMax,1,0.8570833333333333
LinearSVC,MinMax,2,0.8590625
LinearSVC,MinMax,3,0.8566666666666667
LinearSVC,MinMax,4,0.858125
LinearSVC,MinMax,5,0.851875
SVM,MinMax,1,0.9772916666666667
SVM,MinMax,2,0.976875
SVM,MinMax,3,0.9783333333333334
SVM,MinMax,4,0.98125
SVM,MinMax,5,0.976875
AdaBoost,MinMax,1,0.8903125
AdaBoost,MinMax,2,0.8960416666666666
AdaBoost,MinMax,3,0.8746875
AdaBoost,MinMax,4,0.8891666666666667
AdaBoost,MinMax,5,0.8876041666666666
RF,MinMax,1,0.9579166666666666
RF,MinMax,2,0.9629166666666666
RF,MinMax,3,0.9617708333333334
RF,MinMax,4,0.9580208333333333
RF,MinMax,5,0.9592708333333333
GB,MinMax,1,0.918125
GB,MinMax,2,0.9266666666666666
GB,MinMax,3,0.9251041666666666
GB,MinMax,4,0.9255208333333333
GB,MinMax,5,0.9175
XGB,MinMax,1,0.98375
XGB,MinMax,2,0.9845833333333334
XGB,MinMax,3,0.9852083333333334
XGB,MinMax,4,0.9864583333333333
XGB,MinMax,5,0.9865625
LGBM,MinMax,1,0.966875
LGBM,MinMax,2,0.9672916666666667
LGBM,MinMax,3,0.9705208333333334
LGBM,MinMax,4,0.9675
LGBM,MinMax,5,0.96625
CB,MinMax,1,0.9885416666666667
CB,MinMax,2,0.9866666666666667
CB,MinMax,3,0.9871875
CB,MinMax,4,0.9891666666666666
CB,MinMax,5,0.9895833333333334
SGD,MinMax,1,0.855625
SGD,MinMax,2,0.8592708333333333
SGD,MinMax,3,0.8519791666666666
SGD,MinMax,4,0.8517708333333334
SGD,MinMax,5,0.8502083333333333
LR,Robust,1,0.8571875
LR,Robust,2,0.8591666666666666
LR,Robust,3,0.8571875
LR,Robust,4,0.8577083333333333
LR,Robust,5,0.8514583333333333
LDA,Robust,1,0.8554166666666667
LDA,Robust,2,0.8592708333333333
LDA,Robust,3,0.8561458333333334
LDA,Robust,4,0.853125
LDA,Robust,5,0.8535416666666666
QDA,Robust,1,0.8292708333333333
QDA,Robust,2,0.8195833333333333
QDA,Robust,3,0.8502083333333333
QDA,Robust,4,0.8569791666666666
QDA,Robust,5,0.8452083333333333
NB,Robust,1,0.8325
NB,Robust,2,0.8341666666666666
NB,Robust,3,0.8321875
NB,Robust,4,0.8290625
NB,Robust,5,0.8265625
KNN,Robust,1,0.9192708333333334
KNN,Robust,2,0.9227083333333334
KNN,Robust,3,0.9229166666666667
KNN,Robust,4,0.9210416666666666
KNN,Robust,5,0.9230208333333333
LinearSVC,Robust,1,0.8569791666666666
LinearSVC,Robust,2,0.8590625
LinearSVC,Robust,3,0.8565625
LinearSVC,Robust,4,0.8578125
LinearSVC,Robust,5,0.85125
SVM,Robust,1,0.9788541666666667
SVM,Robust,2,0.9776041666666667
SVM,Robust,3,0.9779166666666667
SVM,Robust,4,0.9797916666666666
SVM,Robust,5,0.9779166666666667
AdaBoost,Robust,1,0.8903125
AdaBoost,Robust,2,0.8960416666666666
AdaBoost,Robust,3,0.8746875
AdaBoost,Robust,4,0.8891666666666667
AdaBoost,Robust,5,0.8876041666666666
RF,Robust,1,0.9578125
RF,Robust,2,0.9629166666666666
RF,Robust,3,0.9617708333333334
RF,Robust,4,0.9580208333333333
RF,Robust,5,0.9592708333333333
GB,Robust,1,0.918125
GB,Robust,2,0.9266666666666666
GB,Robust,3,0.9251041666666666
GB,Robust,4,0.9255208333333333
GB,Robust,5,0.9175
XGB,Robust,1,0.9842708333333333
XGB,Robust,2,0.9876041666666666
XGB,Robust,3,0.9871875
XGB,Robust,4,0.986875
XGB,Robust,5,0.9851041666666667
LGBM,Robust,1,0.9653125
LGBM,Robust,2,0.9651041666666667
LGBM,Robust,3,0.9694791666666667
LGBM,Robust,4,0.9686458333333333
LGBM,Robust,5,0.9642708333333333
CB,Robust,1,0.9885416666666667
CB,Robust,2,0.9866666666666667
CB,Robust,3,0.9872916666666667
CB,Robust,4,0.9884375
CB,Robust,5,0.9895833333333334
SGD,Robust,1,0.8544791666666667
SGD,Robust,2,0.8570833333333333
SGD,Robust,3,0.856875
SGD,Robust,4,0.8580208333333333
SGD,Robust,5,0.8472916666666667
LR,Power,1,0.8923958333333334
LR,Power,2,0.8961458333333333
LR,Power,3,0.8908333333333334
LR,Power,4,0.8963541666666667
LR,Power,5,0.8996875
LDA,Power,1,0.8951041666666667
LDA,Power,2,0.8942708333333333
LDA,Power,3,0.8927083333333333
LDA,Power,4,0.895
LDA,Power,5,0.8994791666666667
QDA,Power,1,0.8946875
QDA,Power,2,0.8935416666666667
QDA,Power,3,0.8896875
QDA,Power,4,0.8909375
QDA,Power,5,0.8933333333333333
NB,Power,1,0.8444791666666667
NB,Power,2,0.8452083333333333
NB,Power,3,0.8429166666666666
NB,Power,4,0.8429166666666666
NB,Power,5,0.8396875
KNN,Power,1,0.9179166666666667
KNN,Power,2,0.9211458333333333
KNN,Power,3,0.9215625
KNN,Power,4,0.9203125
KNN,Power,5,0.9208333333333333
LinearSVC,Power,1,0.8966666666666666
LinearSVC,Power,2,0.8958333333333334
LinearSVC,Power,3,0.8933333333333333
LinearSVC,Power,4,0.8977083333333333
LinearSVC,Power,5,0.9014583333333334
SVM,Power,1,0.9772916666666667
SVM,Power,2,0.9782291666666667
SVM,Power,3,0.9798958333333333
SVM,Power,4,0.9809375
SVM,Power,5,0.9782291666666667
AdaBoost,Power,1,0.8903125
AdaBoost,Power,2,0.8960416666666666
AdaBoost,Power,3,0.8746875
AdaBoost,Power,4,0.8891666666666667
AdaBoost,Power,5,0.8876041666666666
RF,Power,1,0.9576041666666667
RF,Power,2,0.9626041666666667
RF,Power,3,0.9617708333333334
RF,Power,4,0.9575
RF,Power,5,0.9591666666666666
GB,Power,1,0.918125
GB,Power,2,0.9266666666666666
GB,Power,3,0.9251041666666666
GB,Power,4,0.9255208333333333
GB,Power,5,0.9175
XGB,Power,1,0.9842708333333333
XGB,Power,2,0.9876041666666666
XGB,Power,3,0.9871875
XGB,Power,4,0.986875
XGB,Power,5,0.9851041666666667
LGBM,Power,1,0.9647916666666667
LGBM,Power,2,0.9686458333333333
LGBM,Power,3,0.9676041666666667
LGBM,Power,4,0.9669791666666666
LGBM,Power,5,0.9673958333333333
CB,Power,1,0.9885416666666667
CB,Power,2,0.9866666666666667
CB,Power,3,0.9876041666666666
CB,Power,4,0.9886458333333333
CB,Power,5,0.9895833333333334
SGD,Power,1,0.8903125
SGD,Power,2,0.8940625
SGD,Power,3,0.8882291666666666
SGD,Power,4,0.8902083333333334
SGD,Power,5,0.8935416666666667
LR,Quantile,1,0.8475
LR,Quantile,2,0.8548958333333333
LR,Quantile,3,0.8495833333333334
LR,Quantile,4,0.8529166666666667
LR,Quantile,5,0.8545833333333334
LDA,Quantile,1,0.8511458333333334
LDA,Quantile,2,0.8521875
LDA,Quantile,3,0.851875
LDA,Quantile,4,0.8548958333333333
LDA,Quantile,5,0.8542708333333333
QDA,Quantile,1,0.8777083333333333
QDA,Quantile,2,0.8802083333333334
QDA,Quantile,3,0.8794791666666667
QDA,Quantile,4,0.8795833333333334
QDA,Quantile,5,0.8751041666666667
NB,Quantile,1,0.8397916666666667
NB,Quantile,2,0.8434375
NB,Quantile,3,0.8402083333333333
NB,Quantile,4,0.8405208333333334
NB,Quantile,5,0.8355208333333334
KNN,Quantile,1,0.9189583333333333
KNN,Quantile,2,0.923125
KNN,Quantile,3,0.9239583333333333
KNN,Quantile,4,0.923125
KNN,Quantile,5,0.9215625
LinearSVC,Quantile,1,0.85
LinearSVC,Quantile,2,0.853125
LinearSVC,Quantile,3,0.85
LinearSVC,Quantile,4,0.8538541666666667
LinearSVC,Quantile,5,0.8541666666666666
SVM,Quantile,1,0.9703125
SVM,Quantile,2,0.97
SVM,Quantile,3,0.969375
SVM,Quantile,4,0.9725
SVM,Quantile,5,0.9679166666666666
AdaBoost,Quantile,1,0.8903125
AdaBoost,Quantile,2,0.8960416666666666
AdaBoost,Quantile,3,0.8746875
AdaBoost,Quantile,4,0.8891666666666667
AdaBoost,Quantile,5,0.8876041666666666
RF,Quantile,1,0.9570833333333333
RF,Quantile,2,0.9625
RF,Quantile,3,0.9627083333333334
RF,Quantile,4,0.958125
RF,Quantile,5,0.9586458333333333
GB,Quantile,1,0.918125
GB,Quantile,2,0.9266666666666666
GB,Quantile,3,0.9251041666666666
GB,Quantile,4,0.9255208333333333
GB,Quantile,5,0.9175
XGB,Quantile,1,0.9842708333333333
XGB,Quantile,2,0.9840625
XGB,Quantile,3,0.9857291666666667
XGB,Quantile,4,0.9861458333333334
XGB,Quantile,5,0.9851041666666667
LGBM,Quantile,1,0.96375
LGBM,Quantile,2,0.9680208333333333
LGBM,Quantile,3,0.969375
LGBM,Quantile,4,0.9704166666666667
LGBM,Quantile,5,0.9665625
CB,Quantile,1,0.9885416666666667
CB,Quantile,2,0.9866666666666667
CB,Quantile,3,0.9876041666666666
CB,Quantile,4,0.9886458333333333
CB,Quantile,5,0.9883333333333333
SGD,Quantile,1,0.8473958333333333
SGD,Quantile,2,0.8508333333333333
SGD,Quantile,3,0.8492708333333333
SGD,Quantile,4,0.850625
SGD,Quantile,5,0.8536458333333333
